哔哩哔哩,#genre#
直播地球,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_52178238_44640770.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_52178238_44640770.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_52178238_44640770.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_52178238_44640770.m3u8
地球频道,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_290515513_3522421.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_290515513_3522421.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_290515513_3522421.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_290515513_3522421.m3u8
3号直播间,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_11153765_9369560.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_11153765_9369560.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_11153765_9369560.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_11153765_9369560.m3u8
学习,#genre#
共青团中央,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_83876_2253732.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_83876_2253732.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_83876_2253732.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_83876_2253732.m3u8
全国青联,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_520616194_85499674.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_520616194_85499674.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_520616194_85499674.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_520616194_85499674.m3u8
广东共青团,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_330383888_1877396.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_330383888_1877396.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_330383888_1877396.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_330383888_1877396.m3u8
央视新闻,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_456664753_32691722_bluray.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_456664753_32691722_bluray.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_456664753_32691722_bluray.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_456664753_32691722_bluray.m3u8
央视新闻直播备路1,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_501135228_36010461.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_501135228_36010461.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_501135228_36010461.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_501135228_36010461.m3u8
央视新闻直播备路3,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_501135230_41631223.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_501135230_41631223.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_501135230_41631223.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_501135230_41631223.m3u8
央视财经,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_106086780_6770591.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_106086780_6770591.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_106086780_6770591.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_106086780_6770591.m3u8
央视频,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_433587902_7391415.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_433587902_7391415.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_433587902_7391415.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_433587902_7391415.m3u8
小央视频,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_222103174_4331333.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_222103174_4331333.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_222103174_4331333.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_222103174_4331333.m3u8
央视网,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_312030557_2240988.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_312030557_2240988.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_312030557_2240988.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_312030557_2240988.m3u8
央视网快看,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_451320374_74782602.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_451320374_74782602.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_451320374_74782602.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_451320374_74782602.m3u8
中国之声官方,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_492838563_66663485.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_492838563_66663485.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_492838563_66663485.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_492838563_66663485.m3u8
央视文艺,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_518057437_12390788.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_518057437_12390788.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_518057437_12390788.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_518057437_12390788.m3u8
电影频道融媒体中心,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_343084292_80015011.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_343084292_80015011.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_343084292_80015011.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_343084292_80015011.m3u8
新华社,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_473837611_14189661.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_473837611_14189661.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_473837611_14189661.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_473837611_14189661.m3u8
新华社快看,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_515155585_47440196.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_515155585_47440196.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_515155585_47440196.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_515155585_47440196.m3u8
中国日报,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_21778636_6574768.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_21778636_6574768.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_21778636_6574768.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_21778636_6574768.m3u8
四川观察,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_487614876_53425449.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_487614876_53425449.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_487614876_53425449.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_487614876_53425449.m3u8
海峡新干线,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_503065294_44454721.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_503065294_44454721.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_503065294_44454721.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_503065294_44454721.m3u8
中国天气,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_398812937_22742301.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_398812937_22742301.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_398812937_22742301.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_398812937_22742301.m3u8
国家开饭大学,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_473609836_18468392.m3u8$佛山节点1#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_473609836_18468392.m3u8$佛山节点2#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_473609836_18468392.m3u8$广州节点1#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_473609836_18468392.m3u8$广州节点2
二次元的中科院物理所,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_407045223_66124221.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_407045223_66124221.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_407045223_66124221.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_407045223_66124221.m3u8
Tech,#genre#
华为终端,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_102999485_4379933.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_102999485_4379933.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_102999485_4379933.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_102999485_4379933.m3u8
荣耀手机,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_99748932_7442167.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_99748932_7442167.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_99748932_7442167.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_99748932_7442167.m3u8
小米公司,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_23920239_6040371.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_23920239_6040371.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_23920239_6040371.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_23920239_6040371.m3u8
UP,#genre#
冯提莫,https://cn-gdfs2-cmcc-live-01.bilivideo.com/live-bvc/live_436473455_62812040_bluray.m3u8#https://cn-gdfs2-cmcc-live-02.bilivideo.com/live-bvc/live_436473455_62812040_bluray.m3u8#https://cn-gdgz4-cmcc-live-01.bilivideo.com/live-bvc/live_436473455_62812040_bluray.m3u8#https://cn-gdgz4-cmcc-live-02.bilivideo.com/live-bvc/live_436473455_62812040_bluray.m3u8

抖音直播,#genre#
