央视,#genre#
CCTV-1综合,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-1/1.m3u8
CCTV-2财经,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-2/1.m3u8
CCTV-3综艺,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8$北邮高清#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/1.m3u8$黑龙江移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-4中文国际,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-4/1.m3u8
CCTV-5体育,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv5hd.m3u8$北邮高清#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/1.m3u8$黑龙江移动#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5+体育赛事,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8$北京移动#http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV-6电影,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8$北邮高清#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/1.m3u8$黑龙江移动#http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=093&Provider_id=&Pcontent_id=index.m3u8
CCTV-7国防军事,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cct7vhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-7/1.m3u8
CCTV-8电视剧,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8$北邮高清#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/1.m3u8$黑龙江移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-9纪录,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-news/1.m3u8
CCTV-10科教,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-10/1.m3u8
CCTV-11戏曲,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv11hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-11/1.m3u8
CCTV-12社会与法,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-12/1.m3u8
CCTV-13新闻,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv13hd.m3u8$北邮高清#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225599/1.m3u8$黑龙江移动#http://ott.js.chinamobile.com/PLTV/3/224/3221227601/index.m3u8$江苏移动
CCTV-14少儿,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-14/1.m3u8
CCTV-15音乐,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv15hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8$北京移动#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-15/1.m3u8
CCTV-17农业农村,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8$央视频#http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/HD-4000k-1080P-cctv17/1.m3u8
CGTN,http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8$央视频#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225867/1.m3u8$北京移动
CGTN Documentary,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225866/1.m3u8$北京移动
CCTV兵器科技,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
